benchmark,variant,energy_mean,energy_se,energy_ci_lower,energy_ci_upper,time_mean,time_se,time_ci_lower,time_ci_upper,cpu_mean,cpu_se,cpu_ci_lower,cpu_ci_upper,memory_mean,memory_se,memory_ci_lower,memory_ci_upper,power_mean,power_se,power_ci_lower,power_ci_upper
ant_colony_optimization_algorithms,G12,8.354978354978348,5.353438115358264,-2.1377603511238483,18.847717061080544,NA,NA,NA,NA,-1.5754281316144023,5.714541414253716,-12.775929303551685,9.625073040322881,0.07436269641175457,0.7447555180457538,-1.385358118957923,1.534083511781432,7.453499264017119,5.080627590961858,-2.5045308142681213,17.41152934230236
ant_colony_optimization_algorithms,G14,6.298701298701293,4.63958625256872,-2.794887756333398,15.392290353735984,NA,NA,NA,NA,6.913844525687887,6.622714639936285,-6.066676168587231,19.894365219963007,0.07971069855095737,0.7435812283192843,-1.3777085089548398,1.5371299060567547,4.598777822382788,4.588370947392943,-4.394429234507381,13.591984879272957
ant_colony_optimization_algorithms,G9,4.588744588744585,4.008688136004729,-3.2682841578246835,12.445773335313852,NA,NA,NA,NA,-12.21858764671927,6.085978697260639,-24.147105893350123,-0.29006940008841653,0.07054269488375209,0.7202456725029498,-1.3411388232220296,1.4822242129895336,3.514875775012257,4.297928152689996,-4.909063404260136,11.93881495428465
basic_string,G12,110206.33253778837,15326.256072562897,80166.8706355651,140245.79444001164,NA,NA,NA,NA,340.6315380306166,0.4999394594831393,339.65165669002965,341.6114193712035,0.9095788110868872,0.7539572661120948,-0.5681774304928187,2.387335052666593,1555.0473452823808,13.730160812521055,1528.1362300898395,1581.958460474922
basic_string,G14,133.85043754972153,14.041829079737626,106.3284525534358,161.37242254600727,NA,NA,NA,NA,17.967508488721716,10.896803430265585,-3.390226234598831,39.32524321204227,0.1866976642443418,0.7488193506021257,-1.2809882629358245,1.6543835914245082,21.93101115995941,3.7222232577284977,14.635453574811557,29.226568745107265
basic_string,G9,257.76451869530626,33.53004729638653,192.04562599438867,323.48341139622386,NA,NA,NA,NA,12.559878356903592,1.961660644302615,8.715023494070467,16.404733219736716,0.2975970942314442,0.7374876707929175,-1.1478787405226742,1.7430729289855624,32.600608725059175,6.578257187918925,19.707224636738083,45.49399281338027
convolution_neural_network,G14,-7.702037012381837,3.4550296745196594,-14.473895174440369,-0.9301788503233048,NA,NA,NA,NA,3.467546879890728,3.670952929049981,-3.7275208610472355,10.662614620828691,0.009677090760925901,0.5711424281229609,-1.1097620683600775,1.1291162498819292,-7.1321529666426215,3.5706686726786705,-14.130663565092815,-0.1336423681924277
kmeans,G12,40.76568150642224,3.6787887711162863,33.55525551503432,47.97610749781016,NA,NA,NA,NA,37.37801412034702,4.628891959073809,28.305385880562355,46.45064236013168,0.5250573687863147,0.5398898590108103,-0.5331267548748735,1.583241492447503,4.419155998103367,2.108977049519232,0.2855609810456725,8.55275101516106
kmeans,G14,-0.7606933532859523,3.9685870909753556,-8.53912405159765,7.017737345025744,NA,NA,NA,NA,-1.8386200521677118,5.136211193543829,-11.905593991513618,8.228353887178192,0.004052541196610104,0.5727947727185706,-1.1186252133317882,1.1267302957250085,-3.091512565196775,3.3073401315821456,-9.57389922309778,3.39087409270423
kmeans,G9,-9.705075445816194,2.2806990127256705,-14.175245510758508,-5.2349053808738795,NA,NA,NA,NA,2.49948204144732,4.929439498212921,-7.162219375050005,12.161183457944645,0.07725156656045433,0.5660296853642326,-1.0321666167534416,1.1866697498743501,-10.279753437648175,1.9841934312777472,-14.16877256295256,-6.39073431234379
linear_discriminant_analysis,G12,-1.0426363805622798,1.7704993710432655,-4.51281514780708,2.4275423866825205,NA,NA,NA,NA,-2.824126299956793,7.365820126926223,-17.26113374873219,11.612881148818603,-0.059429929826962526,0.5799469880237791,-1.1961260263535696,1.0772661666996446,-0.5869405722670635,1.5922549625418592,-3.7077602988491076,2.53387915431498
linear_discriminant_analysis,G14,-0.8564513126047298,1.2885088850450597,-3.381928727293047,1.669026102083587,NA,NA,NA,NA,0.2710757159934589,6.572542524085782,-12.611107631214676,13.153259063201592,0.009143066127229722,0.5516411731419639,-1.0720736332310195,1.090359765485479,0.042475962466688416,1.8563261150031116,-3.59592322293941,3.6808751478727872
linear_discriminant_analysis,G9,3.109290634891079,5.87451180970163,-8.404752512124116,14.623333781906275,NA,NA,NA,NA,-3.7568961549902173,5.833535687565574,-15.190626102618742,7.676833792638307,0.2064809100398527,0.5292915531299541,-0.8309305340948573,1.2438923541745628,3.239757500868824,5.901079004795899,-8.326357348531138,14.805872350268787
n_body_simulation,G12,291.1254428195113,12.612771011119142,266.40441163771777,315.84647400130484,NA,NA,NA,NA,109.1630288561235,4.19601772772944,100.93883410977381,117.3872236024732,1.107370659107009,0.5451126787872701,0.038949808683959475,2.1757915095300584,15.818567317885813,4.053393896787115,7.873915280183069,23.763219355588557
n_body_simulation,G14,-6.894359160686711,3.2151745509441465,-13.196101280537238,-0.5926170408361839,NA,NA,NA,NA,11.13887840230553,8.516847607984747,-5.5541429093445736,27.831899713955632,0.020249063480804564,0.5287132197422275,-1.0160288472139614,1.0565269741755705,-6.398606693927005,3.383048704912025,-13.029382155554574,0.23216876770056416
n_body_simulation,G9,-3.651557816332095,6.352794705573759,-16.10303543925666,8.799919806592472,NA,NA,NA,NA,12.940325728049523,8.236350588427957,-3.202921425269274,29.08357288136832,-0.06378454996456835,0.5264406028785746,-1.0956081316065747,0.9680390316774379,-3.0630016659094355,6.422238489323153,-15.650589104982815,9.524585773163944
sequential_minimum_optimization,G14,0.07631040644487656,0.7609751744022949,-1.4152009353836215,1.5678217482733745,NA,NA,NA,NA,-1.7653112001120914,1.556997334199695,-4.817025975143494,1.2864035749193108,-0.1811521477318403,0.5593025374151477,-1.2773851210655298,0.9150808256018492,-0.3932601575094271,0.814286415670357,-1.9892615322233267,1.2027412172044727
sol1,G12,8723.692069461342,116.18121795593045,8495.976882267718,8951.407256654966,NA,NA,NA,NA,31.982367799411886,9.38946857185196,13.579009398582045,50.38572620024173,2.13478814440573,0.6333375032847631,0.8934466379675943,3.3761296508438656,424.3406041799763,7.657995257509436,409.33093347525784,439.3502748846948
sol1,G14,26.82225417542307,11.848039811948663,3.6000961440036896,50.04441220684245,NA,NA,NA,NA,-14.819340865570846,11.352620858331113,-37.07047774789983,7.4317960167581365,0.11058187370333142,0.5729949856818252,-1.0124882982330459,1.2336520456397089,-2.8064251163639584,6.549594319897677,-15.643629983363404,10.030779750635489
sol1,G9,13.494082512996348,7.680289113415238,-1.5592841492975182,28.547449175290215,NA,NA,NA,NA,4.965603024533408,7.919856222859988,-10.557315172272167,20.488521221338985,0.2554035477505786,0.5575580642155895,-0.8374102581119768,1.3482173536131339,12.78634662772658,7.828799106452885,-2.558099620921073,28.130792876374233
sol1_problem180,G12,-55.75994900282306,3.8050496523630986,-63.217846321454736,-48.30205168419139,NA,NA,NA,NA,105.40678508167683,11.024055056050312,83.79963717181822,127.01393299153544,-0.3174603174603079,0.6152548833626871,-1.5233598888511746,0.8884392539305588,-10.650529500756434,7.821247687597922,-25.98017496844836,4.679115966935493
sol1_problem180,G14,30.971678353519703,10.759800154350865,9.882470050992008,52.0608866560474,NA,NA,NA,NA,4.528513087974808,8.583118348160822,-12.294398874420402,21.35142505037002,-0.283030809346594,0.5977863656978426,-1.4546920861143655,0.8886304674211774,-12.031013615733743,7.48625367139555,-26.70407081166902,2.642043580201536
sol1_problem180,G9,-18.532009835169845,5.1590749450805085,-28.643796727527643,-8.420222942812048,NA,NA,NA,NA,1.3309387915764623,5.90542576736112,-10.243695712451332,12.905573295604258,-0.398217766638814,0.6825819567288347,-1.73607840182733,0.939642868549702,-18.997730711043875,4.766617476038178,-28.340300964078704,-9.655160458009046
